Białystok
200
xMin,xMax,yMin,yMax
23.075,23.24,53.076,53.167
post_code,coordinates
15-157,53.163/23.2
15-161,53.162/23.211
15-197,53.149/23.222
15-156,53.167/23.2
15-199,53.134/23.213
15-697,53.166/23.112
15-166,53.152/23.207
15-190,53.145/23.209
15-196,53.146/23.209
15-198,53.143/23.206
15-349,53.108/23.129
15-546,53.125/23.203
15-571,53.096/23.223
15-581,53.089/23.211
15-584,53.086/23.212
15-587,53.095/23.24
15-591,53.089/23.226
15-611,53.121/23.077
15-666,53.133/23.089
15-680,53.159/23.097
15-684,53.155/23.096
15-685,53.148/23.094
15-698,53.165/23.119
15-756,53.146/23.105
15-763,53.142/23.117
15-111,53.156/23.151
15-131,53.154/23.18
15-158,53.149/23.193
15-167,53.159/23.187
15-169,53.154/23.189
15-170,53.159/23.192
15-171,53.162/23.19
15-174,53.162/23.191
15-181,53.143/23.206
15-187,53.147/23.196
15-189,53.145/23.198
15-192,53.147/23.203
15-195,53.149/23.207
15-336,53.111/23.143
15-337,53.109/23.133
15-338,53.109/23.128
15-339,53.108/23.142
15-340,53.109/23.137
15-341,53.107/23.138
15-342,53.105/23.139
15-345,53.112/23.136
15-399,53.115/23.121
15-502,53.122/23.218
15-505,53.12/23.221
15-506,53.122/23.22
15-517,53.124/23.223
15-531,53.112/23.196
15-537,53.113/23.186
15-539,53.114/23.189
15-540,53.115/23.192
15-545,53.122/23.2
15-554,53.121/23.202
15-557,53.116/23.207
15-559,53.121/23.208
15-560,53.12/23.212
15-561,53.121/23.215
15-572,53.099/23.211
15-575,53.094/23.207
15-578,53.096/23.206
15-580,53.093/23.205
15-583,53.09/23.208
15-585,53.099/23.227
15-594,53.078/23.219
15-612,53.121/23.079
15-614,53.125/23.075
15-616,53.124/23.077
15-617,53.127/23.075
15-628,53.116/23.079
15-633,53.119/23.084
15-634,53.113/23.088
15-642,53.119/23.092
15-649,53.127/23.086
15-668,53.128/23.104
15-670,53.113/23.109
15-671,53.115/23.111
15-672,53.113/23.113
15-682,53.154/23.098
15-687,53.151/23.095
15-690,53.15/23.076
15-703,53.136/23.127
15-724,53.129/23.118
15-727,53.13/23.118
15-773,53.144/23.118
15-794,53.153/23.122
15-797,53.157/23.126
15-798,53.149/23.133
15-801,53.15/23.13
15-806,53.153/23.133
15-814,53.153/23.129
15-822,53.157/23.135
15-162,53.156/23.192
15-163,53.154/23.189
15-177,53.16/23.193
15-365,53.116/23.138
15-394,53.124/23.128
15-533,53.112/23.194
15-558,53.118/23.215
15-563,53.12/23.206
15-573,53.099/23.207
15-597,53.076/23.213
15-631,53.116/23.083
15-644,53.124/23.094
15-660,53.13/23.104
15-661,53.131/23.096
15-665,53.123/23.104
15-674,53.12/23.103
15-686,53.144/23.094
15-693,53.153/23.101
15-717,53.132/23.124
15-765,53.142/23.118
15-795,53.156/23.12
15-803,53.15/23.125
15-811,53.151/23.125
15-109,53.155/23.151
15-113,53.158/23.15
15-126,53.155/23.186
15-130,53.157/23.182
15-135,53.154/23.181
15-160,53.153/23.187
15-175,53.159/23.188
15-186,53.149/23.193
15-188,53.147/23.199
15-324,53.109/23.145
15-325,53.105/23.141
15-343,53.105/23.136
15-346,53.108/23.133
15-348,53.105/23.135
15-396,53.125/23.129
15-503,53.119/23.22
15-507,53.12/23.223
15-516,53.131/23.228
15-519,53.12/23.224
15-532,53.111/23.194
15-535,53.111/23.185
15-536,53.112/23.189
15-543,53.124/23.204
15-544,53.122/23.205
15-556,53.117/23.204
15-562,53.12/23.205
15-564,53.12/23.203
15-569,53.108/23.198
15-577,53.1/23.214
15-618,53.126/23.077
15-620,53.136/23.077
15-625,53.117/23.081
15-627,53.116/23.081
15-632,53.114/23.082
15-638,53.116/23.085
15-640,53.121/23.088
15-655,53.126/23.092
15-662,53.13/23.104
15-667,53.133/23.101
15-669,53.122/23.099
15-673,53.112/23.116
15-679,53.157/23.106
15-681,53.154/23.1
15-683,53.155/23.096
15-688,53.158/23.082
15-689,53.152/23.084
15-691,53.158/23.11
15-692,53.154/23.102
15-704,53.141/23.1
15-709,53.133/23.125
15-711,53.133/23.124
15-720,53.131/23.122
15-741,53.148/23.121
15-760,53.149/23.108
15-762,53.147/23.121
15-779,53.149/23.091
15-780,53.145/23.117
15-788,53.147/23.119
15-796,53.148/23.125
15-802,53.152/23.134
15-810,53.158/23.133
15-818,53.156/23.134
15-820,53.151/23.117
15-133,53.153/23.181
15-136,53.149/23.181
15-183,53.146/23.192
15-247,53.116/23.171
15-250,53.119/23.181
15-256,53.119/23.186
15-258,53.118/23.181
15-548,53.125/23.197
15-553,53.125/23.192
15-836,53.144/23.14
15-869,53.146/23.152
15-128,53.156/23.184
15-132,53.155/23.183
15-191,53.148/23.201
15-193,53.147/23.201
15-335,53.111/23.144
15-347,53.108/23.133
15-361,53.113/23.137
15-501,53.123/23.214
