Bydgoszcz
200
xMin,xMax,yMin,yMax
17.902,18.175,53.093,53.199
post_code,coordinates
85-435,53.161/17.914
85-790,53.155/18.165
85-436,53.156/17.908
85-796,53.151/18.119
85-485,53.192/17.97
85-351,53.126/17.95
85-355,53.125/17.949
85-356,53.122/17.947
85-357,53.125/17.945
85-361,53.129/17.929
85-373,53.136/17.926
85-391,53.133/17.923
85-412,53.152/17.962
85-432,53.153/17.912
85-459,53.145/17.955
85-552,53.171/17.966
85-689,53.167/18.063
85-791,53.155/18.147
85-793,53.163/18.172
85-880,53.102/18.116
85-323,53.121/17.969
85-331,53.121/17.954
85-363,53.131/17.934
85-366,53.13/17.928
85-367,53.129/17.921
85-374,53.134/17.911
85-430,53.152/17.917
85-431,53.152/17.915
85-444,53.138/17.934
85-794,53.16/18.161
85-862,53.094/18.066
85-141,53.097/18.024
85-147,53.101/18.028
85-179,53.1/18.026
85-310,53.112/17.97
85-332,53.121/17.958
85-334,53.124/17.965
85-338,53.124/17.965
85-342,53.126/17.959
85-343,53.128/17.936
85-345,53.126/17.966
85-347,53.128/17.962
85-352,53.129/17.95
85-360,53.129/17.941
85-364,53.131/17.926
85-368,53.129/17.929
85-370,53.131/17.922
85-376,53.136/17.918
85-378,53.136/17.925
85-402,53.136/17.94
85-405,53.145/17.96
85-415,53.156/17.96
85-416,53.153/17.964
85-420,53.149/17.967
85-424,53.139/17.957
85-440,53.151/17.913
85-446,53.142/17.916
85-447,53.14/17.923
85-457,53.142/17.958
85-458,53.144/17.956
85-463,53.143/17.954
85-467,53.148/17.952
85-469,53.181/17.959
85-474,53.192/17.962
85-504,53.141/17.982
85-507,53.142/17.981
85-542,53.15/17.972
85-553,53.166/17.97
85-563,53.165/17.966
85-569,53.17/17.963
85-687,53.175/18.02
85-703,53.126/18.056
85-758,53.123/18.103
85-776,53.132/18.125
85-795,53.166/18.169
85-808,53.101/18.039
85-863,53.103/18.039
85-892,53.093/18.125
85-157,53.106/17.973
85-329,53.119/17.959
85-333,53.123/17.957
85-335,53.124/17.955
85-336,53.127/17.957
85-337,53.125/17.954
85-339,53.123/17.965
85-340,53.122/17.961
85-344,53.125/17.957
85-348,53.126/17.962
85-353,53.129/17.946
85-362,53.13/17.934
85-365,53.133/17.942
85-377,53.136/17.923
85-379,53.134/17.927
85-381,53.135/17.93
85-382,53.134/17.932
85-383,53.134/17.936
85-384,53.134/17.939
85-386,53.137/17.93
85-407,53.143/17.962
85-409,53.145/17.962
85-411,53.15/17.962
85-438,53.149/17.914
85-441,53.139/17.945
85-448,53.142/17.922
85-449,53.143/17.923
85-452,53.143/17.921
85-453,53.144/17.912
85-456,53.141/17.921
85-461,53.145/17.903
85-466,53.147/17.95
85-483,53.199/17.971
85-516,53.141/17.977
85-545,53.146/17.972
85-568,53.169/17.968
85-674,53.146/18.024
85-719,53.12/18.049
85-731,53.122/18.047
85-778,53.129/18.132
85-792,53.149/18.152
85-825,53.103/18.056
85-861,53.098/18.038
85-871,53.113/18.09
85-873,53.105/18.107
85-950,53.149/18.048
85-309,53.115/17.975
85-145,53.099/18.015
85-241,53.132/17.971
85-319,53.12/17.969
85-330,53.12/17.957
85-346,53.128/17.957
85-349,53.121/17.962
85-359,53.133/17.944
85-369,53.13/17.913
85-372,53.132/17.902
85-375,53.146/17.912
85-390,53.132/17.927
85-408,53.148/17.963
85-417,53.156/17.962
85-422,53.14/17.957
85-425,53.136/17.957
85-429,53.137/17.958
85-437,53.151/17.902
85-445,53.142/17.92
85-454,53.148/17.954
85-472,53.185/17.954
85-506,53.141/17.98
85-510,53.143/17.982
85-515,53.141/17.979
85-529,53.142/17.973
85-535,53.148/17.977
85-539,53.144/17.978
85-543,53.162/17.963
85-544,53.145/17.974
85-549,53.149/17.974
85-555,53.172/17.966
85-556,53.174/17.966
85-557,53.168/17.963
85-565,53.17/17.97
85-632,53.144/18.026
85-704,53.13/18.051
85-707,53.126/18.045
85-714,53.128/18.052
85-733,53.125/18.051
85-734,53.129/18.06
85-737,53.126/18.057
85-739,53.121/18.076
85-752,53.124/18.076
85-766,53.134/18.119
85-773,53.131/18.116
85-787,53.173/18.175
85-806,53.111/18.056
85-809,53.097/18.037
85-811,53.105/18.042
85-822,53.105/18.059
85-829,53.109/18.048
85-830,53.111/18.059
85-833,53.114/18.077
85-835,53.114/18.049
85-837,53.114/18.046
85-838,53.114/18.043
85-856,53.112/18.044
85-859,53.102/18.04
85-860,53.102/18.037
85-864,53.106/18.04
85-023,53.119/18.02
85-034,53.121/18
85-087,53.127/18.041
85-092,53.125/18.023
85-124,53.112/17.999
85-133,53.114/17.997
85-137,53.112/17.987
85-156,53.113/17.985
85-158,53.118/17.988
85-174,53.107/18.021
85-183,53.106/18.02
85-184,53.105/18.018
85-140,53.098/18.01
85-144,53.095/18.015
85-148,53.097/18.023
85-240,53.132/17.966
