Gdańsk
186
xMin,xMax,yMin,yMax
18.468,18.915,54.279,54.426
post_code,coordinates
80-180,54.318/18.59
80-299,54.426/18.468
80-298,54.37/18.488
80-119,54.342/18.606
80-126,54.345/18.583
80-171,54.357/18.607
80-175,54.339/18.555
80-177,54.349/18.534
80-178,54.341/18.507
80-283,54.359/18.559
80-680,54.343/18.833
80-690,54.332/18.915
80-809,54.336/18.618
80-041,54.324/18.616
80-288,54.357/18.583
80-034,54.329/18.608
80-124,54.344/18.613
80-125,54.343/18.56
80-169,54.354/18.601
80-172,54.358/18.597
80-174,54.331/18.547
80-176,54.351/18.531
80-215,54.363/18.602
80-287,54.364/18.594
80-292,54.377/18.564
80-293,54.363/18.566
80-336,54.418/18.558
80-392,54.401/18.58
80-410,54.391/18.629
80-419,54.386/18.619
80-516,54.403/18.64
80-001,54.302/18.631
80-003,54.304/18.646
80-007,54.29/18.636
80-008,54.279/18.634
80-017,54.317/18.63
80-020,54.315/18.629
80-058,54.316/18.632
80-059,54.316/18.637
80-123,54.346/18.609
80-133,54.351/18.605
80-217,54.364/18.614
80-227,54.373/18.611
80-234,54.374/18.619
80-253,54.377/18.592
80-254,54.378/18.595
80-255,54.377/18.594
80-257,54.38/18.584
80-267,54.385/18.595
80-268,54.389/18.582
80-275,54.385/18.586
80-278,54.385/18.581
80-279,54.382/18.58
80-280,54.383/18.59
80-281,54.373/18.561
80-282,54.364/18.572
80-286,54.365/18.594
80-289,54.384/18.58
80-302,54.39/18.575
80-306,54.393/18.57
80-307,54.39/18.57
80-308,54.399/18.565
80-309,54.402/18.571
80-313,54.402/18.564
80-319,54.401/18.565
80-322,54.407/18.555
80-330,54.41/18.553
80-335,54.422/18.574
80-339,54.418/18.567
80-341,54.422/18.601
80-342,54.426/18.591
80-353,54.416/18.581
80-354,54.418/18.573
80-358,54.417/18.594
80-360,54.412/18.579
80-363,54.415/18.584
80-384,54.409/18.579
80-389,54.406/18.584
80-394,54.405/18.596
80-395,54.403/18.601
80-396,54.407/18.597
80-402,54.379/18.626
80-404,54.379/18.625
80-405,54.385/18.627
80-408,54.389/18.631
80-412,54.391/18.625
80-415,54.391/18.62
80-423,54.387/18.616
80-433,54.38/18.613
80-438,54.383/18.611
80-447,54.389/18.613
80-462,54.398/18.606
80-506,54.405/18.626
80-508,54.407/18.632
80-524,54.405/18.64
80-534,54.393/18.648
80-537,54.401/18.659
80-557,54.387/18.646
80-631,54.361/18.725
80-633,54.36/18.727
80-716,54.348/18.702
80-717,54.35/18.699
80-718,54.349/18.708
80-726,54.34/18.686
80-736,54.33/18.683
80-766,54.333/18.626
80-777,54.325/18.675
80-871,54.376/18.633
80-110,54.346/18.624
80-732,54.334/18.668
80-122,54.347/18.6
80-251,54.377/18.602
80-266,54.388/18.59
80-285,54.384/18.586
80-301,54.389/18.573
80-312,54.404/18.565
80-318,54.406/18.566
80-320,54.412/18.565
80-333,54.418/18.576
80-340,54.423/18.577
80-344,54.423/18.581
80-366,54.412/18.598
80-387,54.404/18.58
80-426,54.38/18.621
80-431,54.382/18.618
80-452,54.385/18.606
80-453,54.388/18.607
80-457,54.4/18.612
80-512,54.41/18.633
80-513,54.408/18.635
80-518,54.403/18.633
80-522,54.406/18.632
80-526,54.403/18.637
80-538,54.399/18.67
80-541,54.401/18.666
80-544,54.4/18.671
80-553,54.398/18.669
80-146,54.354/18.623
80-738,54.337/18.67
83-011,54.347/18.773
80-012,54.284/18.632
80-013,54.279/18.634
80-025,54.329/18.627
80-035,54.332/18.624
80-037,54.33/18.626
80-039,54.328/18.633
80-043,54.329/18.634
80-053,54.327/18.638
80-055,54.329/18.637
80-057,54.322/18.635
80-065,54.324/18.638
80-066,54.323/18.647
80-067,54.327/18.642
80-068,54.329/18.645
80-070,54.33/18.648
80-116,54.348/18.61
80-121,54.344/18.602
80-216,54.365/18.612
80-221,54.369/18.623
80-225,54.374/18.611
80-233,54.373/18.619
80-237,54.376/18.619
80-241,54.377/18.612
80-243,54.38/18.607
80-244,54.379/18.605
80-246,54.373/18.602
80-247,54.375/18.609
80-252,54.374/18.603
80-260,54.376/18.584
80-261,54.38/18.6
80-262,54.381/18.598
80-264,54.381/18.603
80-270,54.386/18.594
80-271,54.387/18.58
80-274,54.388/18.587
80-277,54.387/18.588
80-284,54.385/18.586
80-290,54.38/18.585
80-296,54.369/18.6
80-300,54.386/18.572
80-304,54.387/18.571
80-315,54.407/18.568
80-316,54.408/18.565
80-317,54.409/18.563
80-321,54.41/18.57
80-324,54.409/18.557
