Kraków
200
xMin,xMax,yMin,yMax
19.818,20.179,49.985,50.111
post_code,coordinates
30-698,49.986/19.948
30-376,50.033/19.881
30-389,50.003/19.895
30-394,50.013/19.871
30-398,50.011/19.818
30-399,49.985/19.873
30-499,49.986/19.911
30-694,49.998/19.997
30-699,49.985/19.982
30-864,50.011/20.029
30-898,50.012/20.046
31-234,50.102/19.949
31-764,50.1/20.075
31-979,50.061/20.057
31-998,50.066/20.179
31-999,50.102/20.149
30-198,50.084/19.849
31-752,50.086/20.053
30-147,50.076/19.881
30-212,50.06/19.893
30-218,50.067/19.876
30-240,50.062/19.833
30-243,50.044/19.825
30-244,50.042/19.824
30-298,50.071/19.83
30-380,50.035/19.859
30-381,50.025/19.846
30-382,50.015/19.9
30-383,50.013/19.904
30-384,50.02/19.908
30-395,50.018/19.882
30-397,50.006/19.859
30-433,50.004/19.928
30-437,49.999/19.909
30-440,50.005/19.912
30-611,50.01/19.952
30-693,50.008/19.971
30-798,50.038/20.058
30-856,50.02/20.021
31-235,50.103/19.946
31-334,50.105/19.904
31-341,50.095/19.905
31-344,50.098/19.88
31-352,50.089/19.874
31-436,50.081/19.964
31-464,50.077/19.973
31-589,50.059/20.027
31-763,50.105/20.06
31-766,50.095/20.088
31-831,50.087/20.032
31-980,50.057/20.043
31-983,50.064/20.109
31-985,50.057/20.134
31-990,50.1/20.123
30-149,50.081/19.871
30-236,50.073/19.856
30-237,50.068/19.849
30-252,50.049/19.876
30-377,50.035/19.888
30-396,50.01/19.877
30-427,50.014/19.914
30-432,50.004/19.928
30-435,49.995/19.919
30-443,50.008/19.932
30-498,49.995/19.913
30-614,50.003/19.952
30-685,50.005/19.975
30-690,50.013/19.984
30-741,50.036/20.052
30-799,50.042/20.073
31-348,50.098/19.89
31-416,50.089/19.972
31-422,50.094/19.969
31-619,50.096/19.992
31-711,50.096/20.044
30-094,50.08/19.898
30-126,50.078/19.899
30-127,50.077/19.897
30-128,50.075/19.897
30-129,50.076/19.899
30-133,50.073/19.897
30-134,50.074/19.892
30-135,50.074/19.885
30-138,50.075/19.885
30-145,50.071/19.883
30-206,50.049/19.9
30-213,50.06/19.898
30-214,50.062/19.892
30-215,50.065/19.887
30-221,50.069/19.875
30-222,50.069/19.871
30-224,50.066/19.866
30-225,50.061/19.862
30-227,50.067/19.86
30-231,50.059/19.871
30-233,50.063/19.875
30-235,50.072/19.864
30-238,50.066/19.846
30-241,50.068/19.835
30-245,50.041/19.829
30-250,50.046/19.861
30-251,50.049/19.873
30-347,50.038/19.928
30-348,50.024/19.905
30-363,50.033/19.93
30-364,50.037/19.917
30-385,50.024/19.914
30-390,50.008/19.901
30-391,50/19.881
30-392,50.014/19.887
30-393,50.007/19.885
30-409,50.028/19.922
30-412,50.023/19.926
30-418,50.019/19.932
30-421,50.017/19.929
30-426,50.02/19.926
30-428,50.02/19.92
30-434,49.999/19.923
30-436,50.009/19.92
30-438,50.003/19.907
30-439,50.004/19.92
30-441,50.004/19.91
30-552,50.035/19.968
30-565,50.03/19.968
30-601,50.024/19.939
30-605,50.023/19.943
30-607,50.022/19.941
30-608,50.021/19.939
30-610,50.01/19.941
30-612,50.012/19.95
30-615,49.997/19.955
30-617,50.001/19.962
30-619,50.014/19.958
30-629,50.022/19.975
30-638,50.019/19.977
30-644,50.027/19.962
30-650,50.026/19.967
30-654,50.02/19.956
30-657,50.016/19.962
30-658,50.013/19.967
30-660,50.018/19.966
30-663,50.017/19.993
30-686,50.01/19.981
30-687,50.005/19.989
30-689,50.007/19.987
30-713,50.045/19.978
30-714,50.044/19.98
30-716,50.042/19.997
30-717,50.048/19.987
30-718,50.046/19.991
30-722,50.042/20.034
30-723,50.045/20.02
30-724,50.038/19.989
30-725,50.038/19.993
30-732,50.037/20
30-733,50.036/19.999
30-734,50.037/19.989
30-735,50.036/19.988
30-737,50.043/20.026
30-740,50.034/20.042
30-809,50.017/19.997
30-812,50.025/19.987
30-820,50.022/19.987
30-826,50.024/19.998
30-827,50.025/19.996
30-829,50.024/20.005
30-830,50.021/19.998
30-837,50.011/20.017
31-214,50.092/19.944
31-215,50.086/19.944
31-216,50.088/19.946
31-221,50.095/19.937
31-222,50.099/19.931
31-227,50.095/19.929
31-228,50.093/19.935
31-231,50.095/19.952
31-236,50.099/19.966
31-242,50.108/19.958
31-262,50.105/19.912
31-263,50.104/19.907
31-266,50.11/19.907
31-315,50.085/19.9
31-335,50.101/19.907
31-338,50.111/19.89
31-340,50.093/19.904
31-345,50.093/19.89
31-346,50.097/19.884
31-347,50.1/19.882
31-349,50.096/19.901
31-351,50.086/19.882
31-353,50.089/19.879
31-354,50.094/19.875
31-358,50.093/19.902
31-409,50.087/19.96
31-421,50.091/19.974
31-423,50.091/19.964
31-431,50.08/19.962
31-432,50.08/19.963
31-435,50.081/19.962
31-444,50.072/19.979
