Lublin
163
xMin,xMax,yMin,yMax
22.472,22.657,51.162,51.284
post_code,coordinates
20-827,51.268/22.507
20-828,51.257/22.497
20-358,51.227/22.589
20-368,51.216/22.591
20-404,51.229/22.55
20-448,51.205/22.582
20-518,51.174/22.51
20-806,51.257/22.523
20-810,51.273/22.51
20-829,51.26/22.483
20-830,51.252/22.49
20-832,51.272/22.491
20-834,51.274/22.505
20-153,51.274/22.579
20-380,51.199/22.595
20-381,51.202/22.604
20-391,51.185/22.586
20-442,51.2/22.582
20-453,51.204/22.579
20-454,51.21/22.58
20-455,51.21/22.58
20-461,51.217/22.577
20-470,51.204/22.542
20-509,51.21/22.532
20-706,51.244/22.504
20-707,51.242/22.499
20-713,51.238/22.491
20-805,51.256/22.524
20-817,51.264/22.539
20-819,51.265/22.522
20-867,51.28/22.547
20-868,51.28/22.548
20-152,51.278/22.579
20-209,51.244/22.612
20-225,51.272/22.595
20-226,51.268/22.601
20-234,51.245/22.634
20-256,51.27/22.621
20-270,51.233/22.64
20-367,51.218/22.587
20-383,51.19/22.602
20-385,51.186/22.597
20-386,51.187/22.59
20-418,51.226/22.565
20-425,51.222/22.572
20-434,51.216/22.583
20-439,51.208/22.591
20-446,51.205/22.572
20-465,51.217/22.574
20-487,51.21/22.542
20-508,51.219/22.538
20-510,51.202/22.519
20-516,51.162/22.5
20-522,51.163/22.511
20-525,51.191/22.516
20-704,51.247/22.501
20-709,51.244/22.513
20-711,51.242/22.492
20-712,51.24/22.49
20-716,51.237/22.49
20-718,51.236/22.493
20-723,51.232/22.491
20-727,51.231/22.497
20-730,51.229/22.497
20-732,51.227/22.503
20-809,51.258/22.517
20-811,51.256/22.512
20-816,51.273/22.551
20-818,51.262/22.524
20-825,51.267/22.509
20-826,51.265/22.508
20-831,51.255/22.486
20-869,51.28/22.551
20-046,51.258/22.525
20-207,51.254/22.604
20-227,51.268/22.601
20-230,51.261/22.621
20-232,51.258/22.634
20-253,51.256/22.634
20-257,51.284/22.625
20-259,51.25/22.657
20-325,51.227/22.603
20-356,51.227/22.585
20-364,51.226/22.582
20-366,51.226/22.581
20-401,51.227/22.554
20-403,51.227/22.548
20-423,51.226/22.571
20-429,51.221/22.58
20-435,51.214/22.584
20-440,51.21/22.588
20-445,51.207/22.567
20-449,51.207/22.581
20-452,51.212/22.581
20-458,51.21/22.581
20-460,51.221/22.574
20-467,51.216/22.575
20-468,51.21/22.562
20-501,51.233/22.542
20-520,51.17/22.494
20-534,51.226/22.535
20-582,51.223/22.496
20-583,51.223/22.487
20-601,51.242/22.523
20-609,51.242/22.532
20-701,51.25/22.511
20-722,51.23/22.493
20-724,51.23/22.489
20-725,51.229/22.492
20-731,51.231/22.498
20-750,51.219/22.478
20-781,51.235/22.477
20-783,51.235/22.472
20-784,51.237/22.478
20-802,51.252/22.52
20-803,51.255/22.519
20-807,51.254/22.516
20-824,51.269/22.495
20-833,51.263/22.496
20-135,51.264/22.585
20-140,51.266/22.588
20-502,51.233/22.546
20-043,51.249/22.531
20-223,51.278/22.59
20-224,51.271/22.585
20-329,51.234/22.605
20-335,51.231/22.597
20-337,51.234/22.597
20-359,51.227/22.595
20-365,51.226/22.584
20-379,51.209/22.6
20-387,51.191/22.595
20-390,51.176/22.583
20-402,51.226/22.55
20-416,51.226/22.576
20-436,51.216/22.581
20-443,51.213/22.586
20-450,51.213/22.578
20-451,51.211/22.584
20-456,51.212/22.581
20-466,51.217/22.576
20-469,51.212/22.559
20-485,51.208/22.547
20-517,51.175/22.504
20-538,51.231/22.519
20-554,51.237/22.506
20-576,51.223/22.514
20-703,51.251/22.518
20-710,51.243/22.487
20-714,51.239/22.486
20-715,51.237/22.487
20-719,51.226/22.482
20-726,51.229/22.49
20-728,51.231/22.495
20-729,51.23/22.498
20-735,51.241/22.5
20-736,51.24/22.499
20-738,51.244/22.499
20-813,51.256/22.526
20-814,51.256/22.529
20-820,51.258/22.519
20-874,51.275/22.538
22-442,51.199/22.586
