Poznań
200
xMin,xMax,yMin,yMax
16.781,17.055,52.318,52.479
post_code,coordinates
60-175,52.384/16.818
60-461,52.451/16.866
61-680,52.479/16.936
60-195,52.409/16.837
60-454,52.439/16.823
60-465,52.456/16.89
60-480,52.474/16.781
61-306,52.363/17.025
61-312,52.359/17.009
60-408,52.421/16.86
61-615,52.447/16.938
61-695,52.439/16.954
60-101,52.37/16.869
60-103,52.372/16.877
60-107,52.383/16.872
60-115,52.374/16.884
60-161,52.384/16.857
60-162,52.385/16.855
60-163,52.384/16.85
60-171,52.381/16.835
60-177,52.392/16.835
60-178,52.391/16.841
60-179,52.392/16.844
60-182,52.407/16.824
60-184,52.405/16.827
60-193,52.411/16.839
60-194,52.408/16.85
60-431,52.436/16.834
60-432,52.438/16.834
60-446,52.432/16.82
60-453,52.434/16.817
60-456,52.437/16.812
60-462,52.461/16.876
60-473,52.451/16.882
60-479,52.455/16.882
60-681,52.449/16.914
60-682,52.45/16.923
60-688,52.46/16.903
61-031,52.408/16.979
61-054,52.408/17.008
61-058,52.418/17.055
61-062,52.408/17.02
61-063,52.405/17.019
61-065,52.393/17.021
61-249,52.381/16.963
61-311,52.368/16.999
61-313,52.351/17.034
61-315,52.359/16.985
61-323,52.346/16.997
61-324,52.344/17.012
61-329,52.318/16.958
61-332,52.335/16.928
61-333,52.341/16.925
61-341,52.352/16.923
61-361,52.367/16.932
61-407,52.359/16.884
61-418,52.369/16.882
61-601,52.47/16.948
61-602,52.467/16.951
61-606,52.467/16.939
61-608,52.457/16.945
61-612,52.456/16.953
61-614,52.455/16.934
61-616,52.447/16.936
61-619,52.445/16.951
60-012,52.353/16.854
60-102,52.371/16.872
60-113,52.374/16.88
60-401,52.423/16.871
60-406,52.426/16.86
60-458,52.437/16.809
60-464,52.457/16.874
60-467,52.456/16.876
60-475,52.453/16.898
60-687,52.461/16.922
61-048,52.408/16.986
61-244,52.393/16.987
61-245,52.39/16.987
61-248,52.378/16.972
61-307,52.368/17.011
61-321,52.34/16.986
61-344,52.354/16.93
61-351,52.356/16.948
61-413,52.363/16.884
61-417,52.368/16.879
61-625,52.436/16.944
61-131,52.397/16.962
61-654,52.428/16.939
61-655,52.429/16.936
61-663,52.424/16.934
60-002,52.366/16.847
60-003,52.367/16.838
60-005,52.367/16.851
60-008,52.363/16.861
60-009,52.357/16.857
60-104,52.375/16.868
60-105,52.378/16.863
60-106,52.382/16.858
60-111,52.377/16.877
60-112,52.376/16.877
60-114,52.374/16.88
60-116,52.376/16.886
60-122,52.382/16.88
60-124,52.382/16.889
60-126,52.384/16.889
60-129,52.386/16.884
60-143,52.39/16.872
60-144,52.384/16.877
60-149,52.391/16.868
60-164,52.384/16.847
60-166,52.385/16.843
60-167,52.376/16.843
60-168,52.377/16.84
60-169,52.38/16.833
60-176,52.388/16.841
60-183,52.408/16.82
60-186,52.411/16.822
60-187,52.409/16.827
60-189,52.412/16.829
60-192,52.41/16.83
60-204,52.385/16.893
60-277,52.397/16.879
60-287,52.394/16.877
60-288,52.398/16.882
60-301,52.394/16.864
60-326,52.4/16.868
60-327,52.4/16.869
60-348,52.402/16.879
60-409,52.425/16.852
60-412,52.429/16.855
60-413,52.43/16.852
60-415,52.434/16.85
60-416,52.439/16.841
60-418,52.433/16.841
60-427,52.429/16.832
60-433,52.439/16.834
60-434,52.439/16.838
60-443,52.434/16.825
60-447,52.431/16.822
60-451,52.432/16.815
60-452,52.434/16.824
60-471,52.452/16.878
60-472,52.453/16.883
60-474,52.451/16.881
60-476,52.445/16.89
60-573,52.418/16.889
60-589,52.417/16.877
60-591,52.413/16.875
60-592,52.415/16.872
60-593,52.416/16.874
60-594,52.42/16.876
60-595,52.417/16.873
60-683,52.464/16.902
60-685,52.457/16.904
60-689,52.461/16.896
60-691,52.453/16.905
60-692,52.452/16.905
60-693,52.45/16.906
61-021,52.419/16.981
61-038,52.412/16.981
61-044,52.412/16.988
61-045,52.413/16.986
61-046,52.413/16.984
61-047,52.409/16.985
61-049,52.406/16.991
61-051,52.408/16.988
61-055,52.411/17.014
61-057,52.407/17.033
61-059,52.415/17.044
61-064,52.389/17.004
61-066,52.394/17.021
61-132,52.397/16.968
61-251,52.379/16.966
61-255,52.394/16.977
61-302,52.377/16.99
61-304,52.383/17.025
61-308,52.369/16.994
61-314,52.371/17.002
61-316,52.352/16.97
61-334,52.344/16.926
61-335,52.345/16.938
61-337,52.353/16.94
61-339,52.357/16.939
61-345,52.354/16.928
61-347,52.356/16.931
61-353,52.358/16.944
61-355,52.359/16.942
61-357,52.366/16.945
61-359,52.364/16.933
61-366,52.369/16.94
61-367,52.37/16.944
61-406,52.363/16.887
61-408,52.359/16.884
61-409,52.363/16.882
61-412,52.364/16.882
61-414,52.365/16.88
61-415,52.365/16.887
61-419,52.37/16.886
61-421,52.368/16.886
61-422,52.368/16.889
