Szczecin
200
xMin,xMax,yMin,yMax
14.463,14.776,53.339,53.521
post_code,coordinates
70-781,53.365/14.659
70-892,53.343/14.761
70-893,53.356/14.737
71-220,53.451/14.476
71-497,53.483/14.529
71-804,53.485/14.581
71-499,53.476/14.516
71-696,53.466/14.562
71-784,53.482/14.546
70-736,53.364/14.604
70-737,53.363/14.609
70-780,53.372/14.648
70-783,53.379/14.658
70-786,53.378/14.666
70-789,53.369/14.668
70-795,53.379/14.695
70-843,53.404/14.681
70-845,53.407/14.688
70-886,53.397/14.767
70-887,53.395/14.776
70-895,53.436/14.744
71-004,53.399/14.495
71-006,53.405/14.506
71-020,53.41/14.489
71-033,53.418/14.488
71-037,53.418/14.479
71-042,53.421/14.481
71-043,53.423/14.486
71-051,53.428/14.494
71-215,53.442/14.478
71-221,53.45/14.474
71-246,53.454/14.495
71-450,53.46/14.531
71-493,53.475/14.525
71-693,53.461/14.559
71-742,53.475/14.585
71-790,53.478/14.541
71-792,53.467/14.536
71-793,53.464/14.539
71-795,53.463/14.544
71-799,53.48/14.533
70-731,53.359/14.598
70-733,53.36/14.602
70-772,53.384/14.645
70-785,53.378/14.663
70-841,53.4/14.677
71-018,53.414/14.489
71-019,53.414/14.491
71-027,53.418/14.497
71-034,53.419/14.489
71-050,53.431/14.485
71-211,53.448/14.484
71-300,53.443/14.515
71-687,53.456/14.563
71-771,53.467/14.55
71-781,53.469/14.554
71-806,53.489/14.577
71-810,53.484/14.564
70-008,53.396/14.516
70-136,53.403/14.521
70-702,53.346/14.564
70-704,53.345/14.575
70-730,53.363/14.594
70-732,53.36/14.605
70-754,53.371/14.607
70-760,53.378/14.621
70-762,53.383/14.628
70-764,53.381/14.631
70-766,53.384/14.631
70-771,53.385/14.635
70-773,53.381/14.639
70-774,53.38/14.637
70-775,53.379/14.631
70-776,53.374/14.638
70-777,53.379/14.651
70-784,53.383/14.669
70-787,53.376/14.668
70-791,53.372/14.688
70-792,53.374/14.693
70-806,53.391/14.66
70-807,53.39/14.669
70-812,53.387/14.678
70-832,53.4/14.666
70-833,53.4/14.671
70-842,53.402/14.682
70-846,53.408/14.697
70-850,53.397/14.683
70-851,53.396/14.682
70-853,53.4/14.689
70-870,53.38/14.733
70-872,53.38/14.749
70-876,53.384/14.755
70-877,53.386/14.759
70-880,53.389/14.765
70-883,53.391/14.767
70-884,53.39/14.769
70-885,53.39/14.776
70-888,53.399/14.771
71-014,53.409/14.504
71-015,53.409/14.504
71-016,53.41/14.5
71-017,53.407/14.495
71-023,53.412/14.498
71-025,53.413/14.502
71-026,53.417/14.498
71-032,53.419/14.492
71-040,53.42/14.476
71-045,53.423/14.492
71-046,53.422/14.496
71-047,53.425/14.484
71-052,53.424/14.495
71-085,53.427/14.505
71-086,53.428/14.504
71-179,53.441/14.496
71-202,53.441/14.498
71-212,53.442/14.482
71-245,53.456/14.492
71-272,53.445/14.508
71-274,53.445/14.51
71-276,53.444/14.512
71-278,53.443/14.514
71-376,53.478/14.481
71-382,53.481/14.48
71-447,53.456/14.543
71-454,53.457/14.538
71-457,53.453/14.536
71-471,53.458/14.531
71-472,53.453/14.547
71-492,53.476/14.523
71-496,53.475/14.512
71-664,53.451/14.561
71-667,53.454/14.552
71-670,53.454/14.557
71-685,53.456/14.56
71-692,53.459/14.563
71-698,53.469/14.564
71-743,53.478/14.59
71-750,53.462/14.572
71-751,53.464/14.565
71-779,53.472/14.568
71-783,53.48/14.55
71-791,53.472/14.538
71-794,53.467/14.537
71-798,53.476/14.532
71-800,53.487/14.586
71-803,53.482/14.582
71-809,53.488/14.578
71-812,53.492/14.579
71-837,53.494/14.59
71-869,53.517/14.615
71-880,53.521/14.599
70-004,53.393/14.516
70-006,53.394/14.517
70-010,53.397/14.533
70-017,53.396/14.526
70-021,53.397/14.528
70-023,53.4/14.525
70-028,53.403/14.533
70-030,53.405/14.54
70-123,53.411/14.527
70-132,53.404/14.526
70-700,53.339/14.553
70-707,53.351/14.573
70-708,53.35/14.574
70-722,53.359/14.594
70-734,53.363/14.597
70-735,53.363/14.6
70-744,53.366/14.595
70-747,53.37/14.601
70-751,53.368/14.602
70-763,53.378/14.626
70-778,53.379/14.647
70-800,53.397/14.642
70-809,53.386/14.656
70-822,53.395/14.666
70-831,53.397/14.669
70-836,53.4/14.675
70-847,53.408/14.7
70-854,53.402/14.69
70-874,53.383/14.743
70-882,53.388/14.767
70-889,53.399/14.766
71-002,53.399/14.498
71-013,53.408/14.5
71-021,53.412/14.496
71-024,53.413/14.498
71-041,53.419/14.48
71-084,53.427/14.508
71-102,53.438/14.518
71-106,53.439/14.514
71-114,53.43/14.509
71-118,53.431/14.51
71-132,53.436/14.509
71-133,53.437/14.507
71-143,53.44/14.508
71-201,53.44/14.5
71-206,53.445/14.493
71-223,53.458/14.47
71-225,53.457/14.467
71-230,53.459/14.463
