Warsaw
139
xMin,xMax,yMin,yMax
20.863,21.241,52.107,52.356
post_code,coordinates
02-495,52.191/20.885
03-289,52.33/21.051
05-075,52.247/21.211
05-077,52.219/21.234
01-934,52.282/20.898
02-496,52.202/20.863
02-991,52.167/21.118
03-287,52.326/21.067
03-984,52.219/21.111
04-667,52.213/21.134
04-965,52.176/21.235
02-776,52.154/21.051
02-797,52.147/21.066
02-956,52.173/21.074
03-991,52.196/21.127
03-994,52.204/21.117
04-761,52.2/21.149
04-986,52.168/21.174
04-987,52.155/21.182
01-472,52.251/20.874
01-496,52.263/20.918
02-482,52.201/20.911
02-761,52.174/21.055
02-796,52.136/21.07
02-830,52.139/21.011
02-850,52.13/21.001
02-886,52.115/21.028
02-892,52.107/21.028
02-951,52.173/21.084
02-954,52.172/21.073
02-987,52.173/21.105
02-995,52.142/21.139
02-998,52.133/21.116
03-017,52.332/21.019
03-044,52.35/21.033
03-253,52.319/21.031
03-257,52.315/21.041
03-290,52.318/21.074
03-599,52.282/21.056
03-977,52.223/21.076
03-982,52.225/21.094
03-986,52.213/21.109
04-424,52.269/21.164
04-680,52.203/21.143
04-872,52.173/21.164
04-937,52.168/21.241
04-953,52.165/21.185
04-988,52.169/21.165
04-998,52.16/21.164
01-100,52.232/20.926
01-355,52.237/20.916
01-473,52.251/20.878
01-492,52.263/20.902
01-493,52.253/20.917
01-494,52.255/20.933
01-497,52.25/20.91
01-932,52.299/20.881
01-937,52.295/20.883
02-747,52.168/21.059
02-781,52.148/21.029
02-784,52.153/21.025
02-787,52.165/21.037
02-790,52.147/21.064
02-793,52.137/21.059
02-798,52.131/21.059
02-828,52.145/21.014
02-829,52.148/21.016
02-849,52.144/21.008
02-867,52.126/20.998
02-924,52.178/21.066
02-952,52.174/21.079
02-962,52.151/21.089
02-968,52.129/21.103
02-969,52.126/21.1
02-970,52.129/21.094
02-972,52.161/21.072
03-075,52.356/20.977
03-107,52.354/20.937
03-113,52.35/20.932
03-147,52.34/20.945
03-159,52.342/20.961
03-259,52.313/21.031
03-604,52.283/21.062
03-606,52.286/21.059
03-985,52.211/21.115
03-995,52.201/21.124
04-247,52.249/21.131
04-421,52.267/21.166
04-690,52.209/21.149
04-769,52.196/21.152
04-830,52.188/21.194
04-857,52.189/21.169
04-921,52.164/21.219
00-707,52.214/21.065
00-712,52.208/21.066
00-713,52.211/21.065
01-309,52.223/20.904
01-320,52.225/20.89
01-471,52.242/20.901
01-529,52.268/20.995
01-864,52.268/20.947
01-919,52.295/20.893
01-971,52.306/20.938
02-202,52.208/20.956
02-230,52.185/20.924
02-384,52.202/20.956
02-455,52.207/20.929
02-490,52.201/20.92
02-637,52.193/20.995
02-654,52.195/20.989
02-757,52.184/21.04
02-777,52.153/21.048
02-786,52.151/21.051
02-811,52.144/21.026
02-820,52.157/21.001
02-833,52.131/21.051
02-843,52.122/21.022
02-856,52.134/21.011
02-860,52.129/21.014
02-862,52.127/21.012
02-868,52.117/21.008
02-878,52.12/21.013
02-925,52.181/21.066
02-927,52.18/21.061
02-928,52.179/21.061
02-959,52.175/21.085
02-964,52.157/21.094
02-967,52.158/21.092
02-971,52.121/21.098
02-981,52.189/21.087
02-988,52.172/21.113
02-993,52.16/21.117
02-996,52.14/21.132
03-002,52.351/21.023
03-028,52.334/20.991
03-029,52.332/20.992
03-030,52.329/20.995
03-035,52.343/21.02
03-037,52.34/21.02
