Wrocław
200
xMin,xMax,yMin,yMax
16.844,17.162,51.05,51.176
post_code,coordinates
51-180,51.175/17.009
52-129,51.055/17.061
54-101,51.163/16.923
54-530,51.118/16.878
52-130,51.063/17.065
52-214,51.05/17.028
54-060,51.156/16.908
51-111,51.136/17.019
51-112,51.137/17.026
51-114,51.142/17.024
51-126,51.153/17.041
51-141,51.141/17.046
51-169,51.152/17.069
51-215,51.161/17.134
51-253,51.17/17.113
51-348,51.139/17.125
51-351,51.141/17.133
51-514,51.107/17.149
51-520,51.1/17.152
51-523,51.096/17.161
52-121,51.054/17.084
52-131,51.058/17.056
52-210,51.059/17.02
52-211,51.057/17.04
52-213,51.053/17.019
52-215,51.05/17.022
52-230,51.066/17.035
52-234,51.06/17.044
52-235,51.066/17.041
52-241,51.061/17.04
52-244,51.059/17.037
52-311,51.068/16.98
52-339,51.059/16.971
53-024,51.073/16.997
53-206,51.082/16.99
54-007,51.132/16.844
54-020,51.154/16.859
54-029,51.138/16.885
54-031,51.133/16.887
54-032,51.137/16.895
54-043,51.148/16.883
54-044,51.147/16.888
54-046,51.146/16.893
54-061,51.159/16.908
54-067,51.176/16.912
54-072,51.153/16.863
54-079,51.174/16.884
54-104,51.157/16.928
54-105,51.159/16.94
54-106,51.154/16.945
54-109,51.149/16.936
54-115,51.137/16.924
54-129,51.126/16.963
54-130,51.127/16.968
54-314,51.123/16.953
54-404,51.107/16.967
54-514,51.118/16.929
54-515,51.117/16.925
54-614,51.099/16.953
54-620,51.095/16.937
50-231,51.129/17.041
50-305,51.126/17.058
50-511,51.079/17.06
51-124,51.146/17.041
51-144,51.14/17.057
51-170,51.154/17.072
51-210,51.155/17.121
51-250,51.168/17.11
51-251,51.168/17.104
51-252,51.164/17.106
51-315,51.146/17.127
51-354,51.144/17.131
51-502,51.116/17.126
51-503,51.116/17.126
51-505,51.11/17.123
51-507,51.108/17.139
51-515,51.11/17.143
51-640,51.099/17.113
51-662,51.104/17.105
52-428,51.073/16.975
53-006,51.069/17.015
53-009,51.066/17.014
53-030,51.07/16.992
53-205,51.083/16.992
54-027,51.143/16.883
54-030,51.137/16.889
54-033,51.134/16.896
54-034,51.141/16.894
54-048,51.146/16.901
54-049,51.145/16.904
54-054,51.156/16.895
54-058,51.159/16.894
54-059,51.158/16.903
54-102,51.165/16.922
54-107,51.15/16.944
54-152,51.137/16.974
54-153,51.136/16.98
54-402,51.11/16.964
54-403,51.107/16.965
54-512,51.12/16.92
54-618,51.097/16.941
54-622,51.103/16.949
50-001,51.131/17.113
50-079,51.128/16.983
50-227,51.127/17.029
50-302,51.128/17.051
50-304,51.129/17.046
50-306,51.126/17.054
50-310,51.124/17.055
50-536,51.073/17.046
50-537,51.075/17.047
50-540,51.077/17.042
50-559,51.076/17.038
50-560,51.075/17.036
51-003,51.148/16.988
51-009,51.142/16.996
51-107,51.138/17.025
51-122,51.142/17.039
51-127,51.151/17.034
51-128,51.158/17.039
51-138,51.138/17.039
51-140,51.139/17.045
51-142,51.142/17.049
51-143,51.14/17.051
51-147,51.142/17.056
51-149,51.143/17.064
51-151,51.137/17.062
51-152,51.137/17.058
51-153,51.135/17.054
51-162,51.133/17.062
51-163,51.133/17.067
51-165,51.137/17.074
51-167,51.145/17.08
51-168,51.145/17.073
51-171,51.139/17.066
51-173,51.153/17.066
51-179,51.163/17.038
51-200,51.158/17.133
51-206,51.157/17.134
51-208,51.158/17.125
51-211,51.166/17.106
51-213,51.16/17.126
51-214,51.16/17.129
51-216,51.163/17.128
51-218,51.164/17.13
51-219,51.165/17.134
51-313,51.144/17.112
51-314,51.144/17.119
51-319,51.147/17.11
51-349,51.137/17.124
51-352,51.136/17.133
51-376,51.157/17.096
51-417,51.135/17.083
51-418,51.134/17.084
51-420,51.136/17.087
51-423,51.138/17.087
51-424,51.132/17.107
51-426,51.132/17.112
51-427,51.13/17.103
51-429,51.132/17.105
51-506,51.11/17.139
51-511,51.107/17.143
51-518,51.1/17.159
51-522,51.099/17.156
51-531,51.105/17.162
51-601,51.121/17.076
51-604,51.122/17.076
51-605,51.125/17.075
51-607,51.123/17.079
51-609,51.12/17.084
51-610,51.12/17.087
51-611,51.123/17.088
51-621,51.106/17.084
51-629,51.101/17.083
51-630,51.101/17.093
51-631,51.101/17.094
51-637,51.1/17.103
51-638,51.1/17.106
51-639,51.099/17.111
51-649,51.104/17.115
51-650,51.105/17.117
51-663,51.103/17.107
51-676,51.108/17.098
51-677,51.108/17.101
51-678,51.108/17.104
51-681,51.11/17.108
51-682,51.111/17.107
51-691,51.112/17.096
51-692,51.112/17.1
52-007,51.074/17.093
52-013,51.071/17.09
52-016,51.081/17.084
52-019,51.07/17.088
52-020,51.076/17.092
52-028,51.093/17.123
52-112,51.067/17.078
52-114,51.063/17.077
52-115,51.061/17.078
52-122,51.054/17.087
52-203,51.055/17.014
