Łódź
181
xMin,xMax,yMin,yMax
19.33,19.624,51.7,51.845
post_code,coordinates
91-357,51.808/19.424
91-604,51.812/19.516
92-637,51.742/19.617
93-469,51.72/19.362
93-479,51.729/19.428
94-234,51.782/19.371
91-171,51.823/19.357
91-230,51.809/19.364
91-360,51.815/19.418
91-487,51.809/19.455
91-493,51.815/19.447
91-496,51.825/19.436
91-502,51.808/19.478
91-503,51.812/19.478
91-511,51.832/19.458
91-520,51.845/19.493
91-527,51.818/19.521
91-528,51.814/19.498
91-531,51.834/19.546
91-610,51.8/19.536
91-614,51.803/19.49
91-849,51.798/19.473
91-857,51.802/19.467
91-867,51.806/19.463
92-006,51.779/19.54
92-010,51.769/19.543
92-014,51.781/19.521
92-104,51.792/19.517
92-116,51.788/19.53
92-413,51.749/19.555
92-610,51.746/19.62
92-620,51.743/19.606
92-703,51.795/19.572
92-735,51.777/19.577
92-780,51.805/19.59
93-424,51.704/19.444
93-428,51.704/19.459
93-460,51.707/19.4
93-478,51.725/19.427
93-649,51.712/19.586
94-214,51.783/19.396
94-221,51.778/19.382
94-314,51.768/19.367
91-156,51.803/19.351
91-162,51.794/19.365
91-170,51.797/19.364
91-174,51.804/19.33
91-232,51.811/19.36
91-358,51.816/19.429
91-490,51.813/19.444
91-504,51.817/19.475
91-512,51.839/19.461
91-605,51.812/19.495
91-615,51.807/19.491
91-858,51.803/19.47
91-859,51.804/19.471
91-864,51.81/19.46
92-007,51.776/19.54
92-015,51.782/19.518
92-109,51.793/19.527
92-402,51.739/19.579
92-720,51.789/19.578
92-761,51.762/19.609
93-308,51.724/19.486
93-362,51.715/19.471
93-367,51.725/19.473
93-458,51.704/19.426
93-463,51.722/19.428
93-481,51.729/19.433
93-482,51.728/19.429
94-128,51.741/19.379
90-201,51.78/19.568
91-134,51.795/19.367
91-161,51.796/19.367
91-164,51.793/19.365
91-165,51.792/19.368
91-172,51.821/19.35
91-180,51.8/19.349
91-202,51.803/19.4
91-219,51.815/19.402
91-220,51.82/19.396
91-222,51.81/19.38
91-225,51.815/19.387
91-231,51.811/19.372
91-335,51.795/19.429
91-336,51.796/19.425
91-341,51.806/19.414
91-342,51.796/19.415
91-348,51.802/19.434
91-356,51.81/19.435
91-364,51.823/19.424
91-365,51.825/19.423
91-473,51.8/19.448
91-480,51.804/19.452
91-481,51.804/19.457
91-485,51.811/19.448
91-488,51.806/19.452
91-491,51.818/19.452
91-492,51.816/19.447
91-495,51.826/19.432
91-498,51.819/19.439
91-509,51.824/19.46
91-510,51.822/19.453
91-518,51.817/19.487
91-519,51.821/19.492
91-526,51.833/19.522
91-530,51.84/19.528
91-601,51.81/19.483
91-603,51.81/19.489
91-611,51.799/19.519
91-612,51.798/19.501
91-613,51.8/19.492
91-725,51.796/19.491
91-848,51.8/19.471
91-862,51.804/19.465
91-865,51.81/19.465
91-866,51.809/19.466
92-002,51.778/19.532
92-003,51.778/19.529
92-005,51.782/19.535
92-008,51.774/19.542
92-013,51.777/19.52
92-016,51.781/19.512
92-018,51.781/19.514
92-101,51.781/19.523
92-102,51.789/19.521
92-103,51.796/19.542
92-107,51.789/19.526
92-108,51.791/19.525
92-110,51.794/19.528
92-111,51.795/19.527
92-117,51.789/19.539
92-119,51.785/19.551
92-219,51.771/19.513
92-220,51.771/19.515
92-229,51.77/19.517
92-308,51.759/19.517
92-311,51.753/19.516
92-403,51.734/19.552
92-411,51.758/19.572
92-414,51.739/19.564
92-602,51.74/19.618
92-608,51.743/19.621
92-622,51.726/19.596
92-624,51.736/19.624
92-629,51.74/19.619
92-640,51.746/19.616
92-736,51.774/19.566
92-740,51.771/19.583
92-742,51.762/19.588
92-760,51.787/19.599
92-770,51.804/19.606
92-776,51.793/19.604
92-777,51.799/19.596
92-781,51.803/19.578
93-120,51.748/19.506
93-121,51.751/19.498
93-134,51.743/19.482
93-154,51.73/19.485
93-155,51.727/19.493
93-228,51.736/19.516
93-231,51.735/19.526
93-232,51.733/19.525
93-237,51.727/19.509
93-238,51.726/19.5
93-302,51.723/19.478
93-304,51.724/19.478
93-305,51.722/19.479
93-309,51.722/19.486
93-322,51.716/19.491
93-327,51.724/19.492
93-330,51.722/19.503
93-331,51.719/19.506
93-332,51.717/19.507
93-333,51.718/19.502
93-334,51.716/19.494
93-338,51.7/19.48
93-346,51.709/19.474
93-347,51.709/19.468
93-351,51.7/19.463
93-360,51.713/19.473
