Polska
72896
xMin,xMax,yMin,yMax
14.144,24.111,49.064,54.83
post_code,coordinates
0-005,52.236/21.008
00-006,52.236/21.009
00-007,52.235/21.011
00-008,52.234/21.01
00-009,52.235/21.011
00-010,52.234/21.01
00-011,52.234/21.013
00-012,52.234/21.011
00-013,52.234/21.012
00-014,52.235/21.013
00-015,52.234/21.012
00-017,52.232/21.011
00-018,52.233/21.013
00-019,52.233/21.012
00-020,52.233/21.015
00-021,52.232/21.016
00-022,52.231/21.016
00-023,52.231/21.014
00-024,52.231/21.014
00-025,52.232/21.016
00-026,52.231/21.013
00-027,52.231/21.012
00-028,52.232/21.017
00-029,52.233/21.019
00-030,52.235/21.014
00-031,52.233/21.015
00-032,52.233/21.014
00-033,52.234/21.016
00-034,52.235/21.016
00-036,52.234/21.016
00-038,52.235/21.012
00-039,52.236/21.013
00-040,52.235/21.017
00-041,52.235/21.011
00-042,52.236/21.018
00-043,52.238/21.015
00-044,52.238/21.016
00-046,52.238/21.018
00-047,52.239/21.017
00-048,52.237/21.013
00-049,52.236/21.011
00-050,52.236/21.013
00-051,52.237/21.014
00-052,52.237/21.013
00-054,52.236/21.011
00-055,52.237/21.009
00-056,52.238/21.011
00-057,52.237/21.009
00-058,52.237/21.01
00-060,52.239/21.009
00-061,52.238/21.008
00-062,52.238/21.01
00-063,52.239/21.011
00-064,52.239/21.01
00-065,52.24/21.013
00-066,52.239/21.013
00-067,52.239/21.015
00-068,52.241/21.016
00-070,52.244/21.013
00-071,52.244/21.014
00-072,52.242/21.014
00-073,52.242/21.013
00-074,52.243/21.013
00-075,52.246/21.012
00-076,52.244/21.012
00-077,52.244/21.01
00-078,52.243/21.012
00-079,52.247/21.013
00-080,52.246/21.013
00-082,52.245/21.01
00-084,52.245/21.007
00-085,52.245/21.007
00-086,52.244/21.006
00-087,52.244/21.004
00-088,52.244/21.003
00-089,52.244/21.005
00-090,52.245/21.004
00-092,52.245/21.008
00-093,52.245/21.006
00-094,52.243/21.009
00-095,52.243/21.005
00-097,52.242/21.01
00-098,52.242/21.008
00-099,52.243/21.007
00-100,52.623/20.364
00-100,52.24/21.003
00-102,52.24/21.004
00-103,52.237/21.004
00-104,52.236/21.003
00-105,52.235/21
00-107,52.237/21.005
00-108,52.236/21.006
00-109,52.236/21.004
00-110,52.234/21.007
00-112,52.236/21.005
00-113,52.234/21.002
00-114,52.235/21.001
00-115,52.235/21.003
00-116,52.234/21.001
00-118,52.231/21.004
00-120,52.231/21.002
00-121,52.232/21.001
00-123,52.234/21.001
00-124,52.233/21
00-125,52.233/21.003
00-127,52.232/21.001
00-130,52.238/21.003
00-131,52.237/21.002
